DATE DE CLASSEMENT,DATE DE PUBLICATION DE L'ETABLISSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATEGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,TÉLÉPHONE,COURRIEL,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION  (résidences de tourisme),NOMBRE D'UNITES D'HABITATION (villages de vacances),NOMBRE DE LOGEMENTS,,,,,,,,,,,,,,,,,,,,,,,
23/10/2016,23/10/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING LE LAURADIOL,Le Lauradiol,12140,CAMPOURIEZ,565445395,campinglelauradiol@orange.fr,www.camping-lelauradiol.jimdo.com,-,-,-,32,-,-,,,,,,,,,,,,,,,,,,,,,,,,
19/10/2012,20/12/2012,CAMPING,3 �toiles,Tourisme,-,CAMPING LE JARDIN,Le Bourg,81330,LACAZE,563617275,lejardin.lacaze@gmail.com,http://www.campinglejardin-tarn.com,-,-,-,21,-,-,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2017,22/08/2017,CAMPING,3 �toiles,Loisirs,-,CAMPING DU GOLF,route de lisieux,14160,DIVES-SUR-MER,231247309,info@campingdugolf.com,http://www.campingdugolf.com,-,-,-,150,-,-,,,,,,,,,,,,,,,,,,,,,,,,
19/07/2017,19/07/2017,CAMPING,2 �toiles,Loisirs,-,CAMPING L'�TOILE DE MER,route du Cr�no,44410,ASS�RAC,02.40.22.36.58,camping.etoile2mer@gmail.com,www.camping-etoile2mer.com,-,-,-,100,-,-,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2016,11/10/2016,CAMPING,4 �toiles,Tourisme,-,CAMPING DES PINS,Passe de Formose,33780,SOULAC-SUR-MER,556098252,contact@campingdespins.fr,http://www.campingdespins.fr,-,-,-,150,-,-,,,,,,,,,,,,,,,,,,,,,,,,
07/07/2017,07/07/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING DU LAC DES VARENNES,Route Port Gautier,72340,MAR�ON,243441372,familycamp72@gmail.com,www.lacdesvarennes.com,-,-,-,250,-,-,,,,,,,,,,,,,,,,,,,,,,,,
07/10/2014,07/10/2014,CAMPING,3 �toiles,Tourisme,-,CAMPING FORESTIER HUTTOPIA LANMARY ,Route D�partementale 69,24420,ANTONNE-ET-TRIGONANT,553458863,lanmary@huttopia.com,www.huttopia.com,-,-,-,140,-,-,,,,,,,,,,,,,,,,,,,,,,,,
16/06/2016,16/06/2016,CAMPING,4 �toiles,Tourisme,-,CAMPING MUNICIPAL LES GABARREYS,Route de la rivi�re,33250,PAUILLAC,556591003,camping.les.gabarreys@wanadoo.fr,http://www.pauillac-medoc.com/tourisme/se-loger/124-camping.html,-,-,-,58,-,-,,,,,,,,,,,,,,,,,,,,,,,,
03/12/2012,03/12/2012,CAMPING,3 �toiles,Loisirs,-,CAMPING LES �TANGS DES MOINES,100 rue des �tangs,59610,FOURMIES,327630526,camping@fourmies.fr,http://www.etangsdesmoines.fr,-,-,-,106,-,-,,,,,,,,,,,,,,,,,,,,,,,,
31/07/2015,31/07/2015,CAMPING,3 �toiles,Tourisme,-,CAMPING LE PILAT,Route de Bourdeau,26110,SAINT-FERR�OL-TRENTE-PAS,475277209,info@campinglepilat.com,http://www.campinglepilat.com,-,-,-,90,-,-,,,,,,,,,,,,,,,,,,,,,,,,
05/08/2013,05/08/2013,CAMPING,1 �toile,Tourisme,-,CAMPING MUNICIPAL,rue de la tillauderie,85540,SAINT-CYR-EN-TALMONDAIS,251308282,mairiestcyrentalmondais@wanadoo.fr,http://www.saint-cyr-en-talmondais.fr/a138-camping-municipal-l-ardiller-saint-cyr-en-talmondais.html,-,-,-,14,-,-,,,,,,,,,,,,,,,,,,,,,,,,
23/08/2016,23/08/2016,CAMPING,5 �toiles,Tourisme,-,CAMPING DOMAINE LA YOLE,avenue de la m�diterran�e,34350,VENDRES,467373387,infocamping@layolewineresort.com,http://www.campinglayole.com,-,-,-,1272,-,-,,,,,,,,,,,,,,,,,,,,,,,,
09/05/2016,09/05/2016,CAMPING,4 �toiles,Tourisme,-,CAMPING LES ECUREUILS,16 Route des Goffineaux,85520,JARD-SUR-MER,251334274,ecureuils@franceloc.fr,http://www.campings-franceloc.fr/accueil-camping-ecureuils-FR.html,-,-,-,278,-,-,,,,,,,,,,,,,,,,,,,,,,,,
15/11/2016,15/11/2016,CAMPING,4 �toiles,Tourisme,-,CLAIR DE LUNE,27 avenue du clair de lune,83400,HY�RES,494582019,dgmd@campingclairdelune.com,http://campingclairdelune.fr,-,-,-,39,-,-,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2012,05/11/2012,CAMPING,2 �toiles,Loisirs,-,CAMPING BOT BIHAN,village de Cromenac'h,56190,AMBON,297416747,villagedecromenach@orange.fr,www.villagedecromenach.com,-,-,-,34,-,-,,,,,,,,,,,,,,,,,,,,,,,,
19/04/2017,19/04/2017,CAMPING,4 �toiles,Tourisme,-,CAMPING LE GARRIGON,Chemin de Visan,84600,GRILLON,490287294,contact@camping-garrigon.com,http://www.camping-garrigon.com,-,-,-,173,-,-,,,,,,,,,,,,,,,,,,,,,,,,
10/07/2017,10/07/2017,CAMPING,4 �toiles,Tourisme,-,LE DOMAINE DES LAUZONS,campagne de briasse,4300,LIMANS,492730060,leslauzons@wanadoo.fr,http://www.camping-lauzons.com,-,-,-,163,-,-,,,,,,,,,,,,,,,,,,,,,,,,
02/10/2017,02/10/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING LE MOULIN � VENT,245 Chemin de Gastoule,84160,CUCURON,490772577,contact@le-moulin-a-vent.com,http://le-moulin-a-vent.com,-,-,-,82,-,-,,,,,,,,,,,,,,,,,,,,,,,,
16/01/2017,16/01/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING DU SEVRON,115 Chemin du moulin des groboz,1370,SAINT-�TIENNE-DU-BOIS,647975073,campingdusevron@gmail.com,https://www.campingdusevron.fr/,-,-,-,35,-,-,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2017,15/06/2017,CAMPING,1 �toile,Loisirs,-,CARAVANING LES �TANGS DES CARREAUX,Les �tangs des Carreaux,77540,ROZAY-EN-BRIE,164256234,adeline.lot@free.fr,http://www.peche-seine-marne.com/contact-etangs-des-carreaux.html,-,-,-,76,-,-,,,,,,,,,,,,,,,,,,,,,,,,
16/07/2015,16/07/2015,CAMPING,3 �toiles,Loisirs,-,CAMPING LE CANADA,81 BOULEVARD LES GOUGINS,50310,SAINT-MARCOUF,233212080,campinglecanada@wanadoo.fr,www.camping-le-canada.com,-,-,-,153,-,-,,,,,,,,,,,,,,,,,,,,,,,,
20/07/2017,20/07/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING LE PICOUTY,le mas de gramas,46350,PAYRAC,565377897,camping.lepicouty@wanadoo.fr,http://www.camping-picouty.com,-,-,-,51,-,-,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2017,30/06/2017,CAMPING,4 �toiles,Tourisme,-,CAMPING LA VERTE RIVE,LALBAREDE TERREGAIE,46200,PINSAC,565378596,camping-laverterive@orange.fr,http://www.camping-laverterive.com,-,-,-,65,-,-,,,,,,,,,,,,,,,,,,,,,,,,
21/09/2017,21/09/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING LES ORMEAUX,Kerhillio,56410,ERDEVEN,297556757,ormeaux.lofficial@wanadoo.fr,http://www.lesormeaux.fr,-,-,-,109,-,-,,,,,,,,,,,,,,,,,,,,,,,,
25/10/2016,25/10/2016,CAMPING,3 �toiles,Loisirs,-,CAMPING EDEN,243 chemin du Val de P�me,6410,BIOT,493656370,campingeden@wanadoo.fr,-,-,-,-,136,-,-,,,,,,,,,,,,,,,,,,,,,,,,
01/06/2017,01/06/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING LES BAUMELLES,1 route de la madrague,83270,SAINT-CYR-SUR-MER,494262127,baumellesloisirs@aol.com,http://campinglesbaumelles.fr,-,-,-,340,-,-,,,,,,,,,,,,,,,,,,,,,,,,
28/06/2016,28/06/2016,CAMPING,4 �toiles,Tourisme,-,CAMPING LE DAUPHIN,Avenue de Suzac 35 all�e des bruy�res,17110,SAINT-GEORGES-DE-DIDONNE,546053331,contact@camping-ledauphin.com,http://www.camping-ledauphin.com,-,-,-,233,-,-,,,,,,,,,,,,,,,,,,,,,,,,
03/01/2014,03/01/2014,CAMPING,4 �toiles,Tourisme,-,CAMPING DE LA R�CR� LE VILLAGE LOISIRS,le lac des trois cur�s,29290,MILIZAC,298079217,campingdelarecre@orange.fr,http://www.larecredes3cures.fr/voir_campinglarecre.html,-,-,-,101,-,-,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2017,21/08/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING DU HAUT-KOENIGSBOURG,Route de la Vancelle,68660,LI�PVRE,389584320,camping.haut-koenigsbourg@orange.fr,http://www.liepvre.fr/loisirs_&_tourisme/camping_25.php,-,-,-,65,-,-,,,,,,,,,,,,,,,,,,,,,,,,
18/07/2017,18/07/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING GCU CH�TILLON-EN-DIOIS,30 chemin du Moulin,26410,CH�TILLON-EN-DIOIS,147639863,chatillon2601@gcuf.fr,-,-,-,-,100,-,-,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2013,14/08/2013,CAMPING,2 �toiles,Loisirs,-,CAMPING DE LA BECQUERELLE,1396 rue du Becquerel,59173,LYNDE,03.28.43.20.37,campingbecquerelle@free.fr,http://www.campingbecquerelle.fr/,-,-,-,60,-,-,,,,,,,,,,,,,,,,,,,,,,,,
18/05/2016,18/05/2016,CAMPING,5 �toiles,Tourisme,-,CAMPING L�HIPPOCAMPE,Route de Taxo,66700,ARGEL�S-SUR-MER,468810461,contact@camping-lasirene.fr,http://www.camping-lasirene.fr,-,-,-,171,-,-,,,,,,,,,,,,,,,,,,,,,,,,
21/05/2013,21/05/2013,CAMPING,2 �toiles,Tourisme,-,CAMPING MUNICIPAL D'ARREAU,8 rue de la Courb�re,65240,ARREAU,562986556,camping-municipal-arreau@wanadoo.fr,http://www.camping-arreau.fr,-,-,-,79,-,-,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2017,30/05/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING LE GRAND CORSEAU,fromentine - route de la grande c�te,85550,LA BARRE-DE-MONTS,251685287,accueil.grandcorseau@vacances-ulvf.fr,http://www.camping-grand-corseau.asso.fr,-,-,-,362,-,-,,,,,,,,,,,,,,,,,,,,,,,,
06/11/2012,06/11/2012,CAMPING,1 �toile,Loisirs,-,CAMPING D'AZOLE,Azole,69790,PROPI�RES,474036008,mairie@propieres.mairies69.net,-,-,-,-,13,-,-,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2017,11/07/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING LES OMBRAGES,rouffillac,24370,CARLUX,953532555,ombragesperigord@free.fr,www.ombrages.fr,-,-,-,80,-,-,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2013,01/07/2013,CAMPING,2 �toiles,Tourisme,-,LA FERME DU PLANTIER,Rue de L'OULET,65400,OUZOUS,562975801,b.capdevielle@laposte.net,http://www.argeles-pyrenees.com/immobilier/camping-ouzous-fermeplantier.html,-,-,-,17,-,-,,,,,,,,,,,,,,,,,,,,,,,,
02/11/2016,02/11/2016,CAMPING,3 �toiles,Loisirs,-,CAMPING MUNICIPAL LA FALAISE,RUE CHARLES CAZIN,62224,EQUIHEN-PLAGE,321312261,camping.equihen.plage@orange.fr,http://WWW.CAMPING-EQUIHEN-PLAGE.FR,-,-,-,299,-,-,,,,,,,,,,,,,,,,,,,,,,,,
06/10/2016,06/10/2016,CAMPING,5 �toiles,Tourisme,-,ALOHA 2,ALL�E DES DUNES ,34410,S�RIGNAN,467397130,jacky.lautier@alohacamping.com,http://www.alohacamping.com,-,-,-,110,-,-,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2017,30/06/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING AURILANDES,1001 promenade de l'�tang,40200,AUREILHAN,558091088,diraurilandes@village-center.fr,http://www.campingaurilandes.com/,-,-,-,440,-,-,,,,,,,,,,,,,,,,,,,,,,,,
03/06/2013,03/06/2013,CAMPING,2 �toiles,Tourisme,-,CAMPING MUNICIPAL DE LA PONTI�RE,route de charpal,48170,LAUBERT,466459572,mairielaubert@orange.fr,-,-,-,-,33,-,-,,,,,,,,,,,,,,,,,,,,,,,,
07/08/2017,07/08/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING MUNICIPAL LE GRAND GRAVELOT,275 rue d'Asfeld,62100,CALAIS,391915234,camping@mairie-calais.fr,http://www.camping.calais.fr/fr/,-,-,-,126,-,-,,,,,,,,,,,,,,,,,,,,,,,,
30/06/2016,30/06/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING DU PONT DE MERCIER,LES CHAMPS DE MERCIER,7330,THUEYTS,475364608,info@campingpontdumercier.fr,http://www.campingpontdumercier.fr,-,-,-,90,-,-,,,,,,,,,,,,,,,,,,,,,,,,
09/10/2017,09/10/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING LE PETIT DAUPHIN,1696 route de la fouasse,17570,LES MATHES,05 46 06 38 23,lepetitdauphin2@wanadoo.fr,http://le-petit-dauphin.com/,-,-,-,99,-,-,,,,,,,,,,,,,,,,,,,,,,,,
30/08/2013,30/08/2013,CAMPING,3 �toiles,Tourisme,-,CAMPING DU TREZ,9 rue des peupliers,29950,B�NODET,298571594,contact@campingdutrez.com,www.campingdutrez.com,-,-,-,142,-,-,,,,,,,,,,,,,,,,,,,,,,,,
02/08/2017,02/08/2017,CAMPING,4 �toiles,Tourisme,-,CAMPING LOU CASTEL,PRENTE GARDE,24250,CASTELNAUD-LA-CHAPELLE,553298924,contact@loucastel.com,http://www.loucastel.com,-,-,-,112,-,-,,,,,,,,,,,,,,,,,,,,,,,,
05/12/2012,05/12/2012,CAMPING,1 �toile,Tourisme,-,CAMPING DU MONT-SAINT-MICHEL,ROUTE DU MONT-SAINT-MICHEL,50170,LE MONT-SAINT-MICHEL,02.33.60.22.10,stmichel@le-mont-saint-michel.com,www.camping-montsaintmichel.com,-,-,-,94,-,-,,,,,,,,,,,,,,,,,,,,,,,,
11/07/2017,11/07/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING LE R�VE,Lieu-dit Revers,46300,LE VIGAN,565412520,info@campinglereve.com,http://www.campinglereve.com,-,-,-,60,-,-,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2016,13/07/2016,CAMPING,1 �toile,Tourisme,-,CAMPING LES GU�RINS,LES GU�RINS,5130,SIGOYER,492579885,camp.les.guerins@wanadoo.fr,http://www.campinglesguerins.com,-,-,-,77,-,-,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2012,05/11/2012,CAMPING,2 �toiles,Loisirs,-,CAMPING DES MAUROIS,4 RUE DES MAUROIS,95810,GRISY-LES-PL�TRES,134664317,patrick.guigo0091@orange.fr,-,-,-,-,170,-,-,,,,,,,,,,,,,,,,,,,,,,,,
01/09/2017,01/09/2017,CAMPING,2 �toiles,Loisirs,-,CAMPING DE LA BLIQUE,2 rue de Wavrechain Sous Faulx,59295,PAILLENCOURT,327892444,michel.dhollandeguidez@sfr.fr,-,-,-,-,66,-,-,,,,,,,,,,,,,,,,,,,,,,,,
09/11/2016,09/11/2016,CAMPING,4 �toiles,Tourisme,-,CAMP�OLE C�TE DU SOLEIL,Chemin des P�cheurs,34410,SERIGNAN,563709727,clugan@andretriganogroupe.com,www.campeole.com,-,-,-,181,-,-,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2013,08/10/2013,CAMPING,3 �toiles,Tourisme,-,CAMPING MUNICIPAL DE METZ,All�e de Metz Plage,57000,METZ,387682648,campingmetz@mairie-metz.fr,http://www.metz.fr/,-,-,-,150,-,-,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,10/10/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING DE LA FERME,630 Boulevard du Bon Puits,6210,MANDELIEU-LA-NAPOULE,493499419,info@campingcotemer.fr,http://campingcotemer.fr,-,-,-,80,-,-,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2013,07/06/2013,CAMPING,4 �toiles,Tourisme,-,CAMPING DU CH�TEAU DE LA ROLANDI�RE,Ch�teau de La Rolandi�re,37220,TROGUES,247585371,contact@larolandiere.com,http://www.larolandiere.com,-,-,-,30,-,-,,,,,,,,,,,,,,,,,,,,,,,,
21/12/2016,21/12/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING LE VAL BOIS�,56 avenue Capitaine Porth�ous,76370,BERNEVAL-LE-GRAND,235852918,camping-berneval@wanadoo.fr,http://www.berneval.fr/camping/,-,-,-,35,-,-,,,,,,,,,,,,,,,,,,,,,,,,
17/10/2012,17/10/2012,CAMPING,2 �toiles,Tourisme,-,CAMPING DU PLA DE BARR�S,Route des Bouillouses,66210,LA LLAGONNE,04.68.04.26.04,campingmtlouis@orange.fr,www.pladebarres.com,-,-,-,162,-,-,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2017,07/06/2017,CAMPING,4 �toiles,Tourisme,-,CAMPING CAMPIOTEL DES DUNES,15 ROUTE DE SainT CL�MENT,17590,ARS-EN-R�,546294141,contact@campiotel.com,http://www.campiotel.com/,-,-,-,118,-,-,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2017,13/07/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING LES ORMEAUX,6 rue de la vigne verte,85340,OLONNE-SUR-MER,251956598,frederic.lhommeau@orange.fr,http://www.camping-les-ormeaux.fr/,-,-,-,220,-,-,,,,,,,,,,,,,,,,,,,,,,,,
03/05/2017,03/05/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING SAINT-LAZARE,1124 route de Moissac,83630,AUPS,494701286,camping.caravaning.st-lazare@orange.fr,www.camping-stlazare-var.fr,-,-,-,62,-,-,,,,,,,,,,,,,,,,,,,,,,,,
08/09/2017,08/09/2017,CAMPING,2 �toiles,Loisirs,-,CAMPING LE WAGELROTT,rue de la Sucrerie,67150,ERSTEIN,388252352,jean-baptiste.leblond@ville-erstein.fr,http://www.ville-erstein.fr/camping,-,-,-,273,-,-,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2015,24/09/2015,CAMPING,4 �toiles,Tourisme,-,CAMPING AUX POMMIERS,28 route du Mont Saint Michel,50170,BEAUVOIR,233601136,campingauxpommiers@gmail.com,www.camping-auxpommiers.com,-,-,-,106,-,-,,,,,,,,,,,,,,,,,,,,,,,,
